"Model","Region","Response","op","Predictor","Effect","se","pvalue"
"Detrended","West","fish","=~","estfish_stn",0.7844,0.0661,0
"Detrended","West","fish","=~","estfish_bsmt",0.6483,0.0916,0
"Detrended","West","estfish","~~","estfish",0.5072,0.1141,0
"Detrended","West","estfish_stn","~~","estfish_stn",0.3846,0.1036,2e-04
"Detrended","West","estfish_bsmt","~~","estfish_bsmt",0.5798,0.1188,0
"Detrended","West","chla","~~","chla",0.7026,0.1118,0
"Detrended","West","hzoop","~~","hzoop",0.4971,0.1044,0
"Detrended","West","pzoop","~~","pzoop",0.2737,0.0725,2e-04
"Detrended","West","fish","~~","fish",0.0545,0.0912,0.5501
"Detrended","West","potam","~~","potam",1,0,NA
"Detrended","West","potam","~~","flow",-0.5268,0,NA
"Detrended","West","potam","~~","temp",0.299,0,NA
"Detrended","West","potam","~~","turbid",-0.3924,0,NA
"Detrended","West","flow","~~","flow",1,0,NA
"Detrended","West","flow","~~","temp",-0.2786,0,NA
"Detrended","West","flow","~~","turbid",0.6744,0,NA
"Detrended","West","temp","~~","temp",1,0,NA
"Detrended","West","temp","~~","turbid",-0.2766,0,NA
"Detrended","West","turbid","~~","turbid",1,0,NA
"Detrended","North","chla","~","corbic",0.485,0.1315,2e-04
"Detrended","North","chla","~","flow",0.1435,0.1508,0.3411
"Detrended","North","chla","~","temp",0.1668,0.1277,0.1916
"Detrended","North","chla","~","turbid",0.1929,0.1342,0.1508
"Detrended","North","hzoop","~","chla",0.3498,0.1618,0.0306
"Detrended","North","hzoop","~","corbic",-0.0261,0.1887,0.8902
"Detrended","North","hzoop","~","flow",0.1459,0.1818,0.4221
"Detrended","North","hzoop","~","temp",0.0895,0.1564,0.5673
"Detrended","North","hzoop","~","turbid",-0.0078,0.168,0.9631
"Detrended","North","pzoop","~","chla",0.7249,0.0941,0
"Detrended","North","pzoop","~","corbic",0.267,0.1093,0.0146
"Detrended","North","pzoop","~","flow",-0.5014,0.1041,0
"Detrended","North","pzoop","~","temp",0.0183,0.0923,0.8433
"Detrended","North","pzoop","~","turbid",0.0055,0.0983,0.9552
"Detrended","North","pzoop","~","hzoop",0.0349,0.0914,0.7028
"Detrended","North","fish","~","chla",-0.6921,0.3265,0.034
"Detrended","North","fish","~","hzoop",0.1204,0.1634,0.461
"Detrended","North","fish","~","pzoop",0.5679,0.2822,0.0442
"Detrended","North","fish","~","corbic",-0.6532,0.2429,0.0072
"Detrended","North","fish","~","flow",0.5207,0.2474,0.0353
"Detrended","North","fish","~","temp",0.2344,0.1824,0.1987
"Detrended","North","fish","~","turbid",0.0752,0.1988,0.705
"Detrended","North","fish","=~","estfish",0.613,0.1294,0
"Detrended","North","fish","=~","estfish_stn",0.7289,0.141,0
"Detrended","North","estfish_stn","~~","chla",0.6786,0.168,1e-04
"Detrended","North","estfish","~~","estfish",0.6242,0.1587,1e-04
"Detrended","North","estfish_stn","~~","estfish_stn",0.6205,0.2375,0.009
"Detrended","North","chla","~~","chla",0.7085,0.1038,0
"Detrended","North","hzoop","~~","hzoop",0.8351,0.1045,0
"Detrended","North","pzoop","~~","pzoop",0.2858,0.0717,1e-04
"Detrended","North","fish","~~","fish",0.4527,0.1769,0.0105
"Detrended","North","corbic","~~","corbic",1,0,NA
"Detrended","North","corbic","~~","flow",0.3769,0,NA
"Detrended","North","corbic","~~","temp",-0.1741,0,NA
"Detrended","North","corbic","~~","turbid",-0.265,0,NA
"Detrended","North","flow","~~","flow",1,0,NA
"Detrended","North","flow","~~","temp",-0.3757,0,NA
"Detrended","North","flow","~~","turbid",0.2872,0,NA
"Detrended","North","temp","~~","temp",1,0,NA
"Detrended","North","temp","~~","turbid",-0.0296,0,NA
"Detrended","North","turbid","~~","turbid",1,0,NA
"Detrended","South","chla","~","corbic",0.1201,0.1555,0.44
"Detrended","South","chla","~","flow",-0.034,0.1678,0.8396
"Detrended","South","chla","~","temp",0.1756,0.1549,0.2568
"Detrended","South","chla","~","turbid",-0.0475,0.163,0.7707
"Detrended","South","hzoop","~","chla",0.4556,0.1173,1e-04
"Detrended","South","hzoop","~","corbic",0.2876,0.1237,0.02
"Detrended","South","hzoop","~","flow",0.0324,0.138,0.8146
"Detrended","South","hzoop","~","temp",-0.017,0.132,0.8977
"Detrended","South","hzoop","~","turbid",-0.1527,0.1326,0.2497
"Detrended","South","pzoop","~","chla",0.5229,0.12,0
"Detrended","South","pzoop","~","corbic",-0.1158,0.1231,0.3467
"Detrended","South","pzoop","~","flow",-0.0209,0.1243,0.8665
"Detrended","South","pzoop","~","temp",0.1563,0.1174,0.1831
"Detrended","South","pzoop","~","turbid",-0.0992,0.1222,0.4172
"Detrended","South","pzoop","~","hzoop",0.2038,0.1396,0.1443
"Detrended","South","fish","~","hzoop",0.2383,0.1633,0.1444
"Detrended","South","fish","~","pzoop",-0.2921,0.1556,0.0604
"Detrended","South","fish","~","corbic",0.1167,0.1488,0.4329
"Detrended","South","fish","~","flow",-0.0047,0.1491,0.9747
"Detrended","South","fish","~","temp",0.1303,0.1439,0.365
"Detrended","South","fish","~","turbid",0.3786,0.135,0.0051
"Detrended","South","fish","=~","estfish",1,0,NA
"Detrended","South","estfish","~~","estfish",0,0,NA
"Detrended","South","chla","~~","chla",0.95,0.0655,0
"Detrended","South","hzoop","~~","hzoop",0.6417,0.1178,0
"Detrended","South","pzoop","~~","pzoop",0.5197,0.112,0
"Detrended","South","fish","~~","fish",0.7468,0.1134,0
"Detrended","South","corbic","~~","corbic",1,0,NA
"Detrended","South","corbic","~~","flow",0.1815,0,NA
"Detrended","South","corbic","~~","temp",0.004,0,NA
"Detrended","South","corbic","~~","turbid",-0.0951,0,NA
"Detrended","South","flow","~~","flow",1,0,NA
"Detrended","South","flow","~~","temp",-0.2024,0,NA
"Detrended","South","flow","~~","turbid",0.2808,0,NA
"Detrended","South","temp","~~","temp",1,0,NA
"Detrended","South","temp","~~","turbid",0.1064,0,NA
"Detrended","South","turbid","~~","turbid",1,0,NA
