"Year","Mean_outflow_CY","Mean_inflow_CY","Mean_YOLO_CY","Mean_SAC_CY","Mean_Export_CY","Mean_outflow_WY","Mean_inflow_WY","Mean_YOLO_WY","Mean_SAC_WY","Mean_Export_WY","Chlorophyll","DissAmmonia","DissNitrateNitrite","Salinity","Secchi","Temperature","TotPhos","Temperature_model","FMWT_fish_catch_per_tow_AmericanShad","FMWT_fish_catch_per_tow_PacificHerring","FMWT_fish_catch_per_tow_ThreadfinShad","FMWT_fish_catch_per_tow_NorthernAnchovy","FMWT_fish_catch_per_tow_DeltaSmelt","FMWT_fish_catch_per_tow_StripedBass_age0","FMWT_fish_catch_per_tow_LongfinSmelt","FMWT_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","FMWT_fish_catch_per_tow_Marine_pelagic_forage_fishes","FMWT_fish_biomass_AmericanShad","FMWT_fish_biomass_PacificHerring","FMWT_fish_biomass_ThreadfinShad","FMWT_fish_biomass_NorthernAnchovy","FMWT_fish_biomass_DeltaSmelt","FMWT_fish_biomass_StripedBass_age0","FMWT_fish_biomass_LongfinSmelt","FMWT_fish_biomass_Estuarine_pelagic_forage_fishes","FMWT_fish_biomass_Marine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_MidwaterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_MidwaterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_AmericanShad","BayStudy_MidwaterTrawl_fish_biomass_PacificHerring","BayStudy_MidwaterTrawl_fish_biomass_ThreadfinShad","BayStudy_MidwaterTrawl_fish_biomass_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_biomass_DeltaSmelt","BayStudy_MidwaterTrawl_fish_biomass_StripedBass_age0","BayStudy_MidwaterTrawl_fish_biomass_LongfinSmelt","BayStudy_MidwaterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_OtterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_OtterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_OtterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_OtterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_OtterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_AmericanShad","BayStudy_OtterTrawl_fish_biomass_PacificHerring","BayStudy_OtterTrawl_fish_biomass_ThreadfinShad","BayStudy_OtterTrawl_fish_biomass_NorthernAnchovy","BayStudy_OtterTrawl_fish_biomass_DeltaSmelt","BayStudy_OtterTrawl_fish_biomass_StripedBass_age0","BayStudy_OtterTrawl_fish_biomass_LongfinSmelt","BayStudy_OtterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_Marine_pelagic_forage_fishes","DJFMP_fish_catch_per_seine_Silverside","DJFMP_fish_biomass_Silverside","Cladoceran_BPUE","Herbivorous_Copepods_BPUE","Mysids_BPUE","Predatory_Copepods_BPUE","Rotifers_BPUE","Corbicula_cpue","Potamocorbula_cpue","Amphipoda_cpue"
1977,3688.07945205479,7993.71232876712,1.11780821917808,7548.38356164384,2877.74520547945,3421.42739726027,8226.72602739726,1.81095890410959,7608.30136986301,3074.8,20.09765,NA,0.64475,5.76569319236804,58.3383838383838,17.9991312155843,0.18815,16.2501956981382,1.33086927952999,0.14234693877551,16.2329796691404,62.2349721706865,1.3033047309833,2.86449096538382,0.581441326530612,22.3130859715681,62.377319109462,18900.8420439568,936.021481754773,150705.806071327,1456.66948966032,1097.56762010597,19259.1898236017,3257.72917081853,193221.13472981,2392.69097141509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208333333333333,320.637475708208,84590.34,2194916.7984,283119.963877798,2872.464,574389.5148,326.923076923077,0,77.240067624683
1978,30666.6328767123,38143.1671232877,3928.89315068493,25638.0821917808,6763.33424657534,29438.0849315068,36050.1780821918,3927.96712328767,24362.3287671233,6133.77260273973,10.0653968253968,NA,0.454473684210526,1.99672744873529,36.1069518716578,17.8241710776842,0.198740157480315,16.2685673604775,2.95238182977154,0.0467948717948718,0.590485719346013,6.7285050558685,0.823729203219749,8.48150251942269,13.1985035039657,26.0466027757257,6.77529992766337,49815.2045406409,3525.75601648819,6072.54258253019,36247.8556331732,1549.15699362768,51557.1405048254,49850.9464569062,158844.99107853,39773.6116496614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10777777777778,2129.50156341311,64330.426,1368971.39975,1834698.03745733,8714.16,556374.2496,19.2307692307692,0,55.9664694280079
1979,16570.2219178082,23929.4712328767,281.161643835616,18792.0547945205,6588.04109589041,15750.5150684932,23156.2410958904,202.454794520548,17953.4246575342,6350.86849315069,10.0929213483146,0.0811290322580645,0.413814432989691,2.35430571906301,42.0531914893617,17.5789306671422,0.17135593220339,16.6657284052934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.50166666666667,7860.08871967106,51352.348,1665752.67744,1391375.20978216,978.432,351739.1534,1067.30769230769,0,549.268573307035
1980,37685.1475409836,45361.9453551913,8652.29781420765,25809.2896174863,6432.98087431694,38731.3606557377,46031.4972677596,8728.80054644809,26576.2295081967,6402.37158469945,8.7635,0.0657425742574257,0.311144278606965,3.31857471522428,48.2582417582418,17.0285655304217,0.146239316239316,15.7340830274618,7.78948794261294,0.820911826268969,17.7948696145125,26.9421523417059,4.72563121402407,4.43533470497756,68.2616965375894,103.007020013716,27.7630641679749,106946.893573432,3012.42725358514,205170.812297499,124332.844829268,13403.2023783245,26928.0633120834,272641.976346298,625090.947907636,127345.272082853,1.06845238095238,0.45952380952381,0.157142857142857,23.9666666666667,1.60059523809524,7.41428571428571,41.5357142857143,51.7761904761905,24.4261904761905,35770.3485227125,626.610390637753,1813.17952248,125961.44131393,2331.98451008461,32798.6980740959,65667.0980664863,138381.308695859,126588.051704568,0.0285714285714286,0.0625,0,1.28928571428571,0.757142857142857,7.90773809523809,17.0517857142857,25.7452380952381,1.35178571428571,287.606523641628,71.4837013443114,0,7300.4672250729,724.055347298373,30265.5319237173,15179.7865538219,46456.9803484793,7371.95092641721,3.88333333333333,5603.0212339117,548549.494,1354740.61415,2679597.80871594,1416.0069,368286.2762,1721.91697191697,0,368.120127735512
1981,19375.5835616438,26609.3863013699,2555.15068493151,21412.9315068493,6323.91506849315,10875.1369863014,18875.4712328767,171.580821917808,15868.7397260274,6671.12054794521,8.17308510638298,0.102796208530806,0.458047619047619,4.75574928121731,59.300518134715,18.3614548182051,0.177272727272727,16.7817269603842,2.84662698412698,0.00630252100840336,6.51516356542617,47.2464431605976,1.16892256902761,8.70801904094971,4.38334417100173,23.6220763305322,47.252745681606,42977.2727403384,21.1829026397448,54182.1266519892,51341.8203361959,2602.85629415413,68437.8326639008,30609.4983590198,198809.586709402,51363.0032388357,2.83571428571429,0.128571428571429,0.0285714285714286,138.235714285714,2.01190476190476,14.7330748809843,11.3785714285714,30.9878367857462,138.364285714286,37489.1692420762,256.873015361012,191.237506450779,352209.760160303,5040.3157418805,44548.23144299,44241.2127562421,131510.16668964,352466.633175664,0,0.0571428571428571,0,2.41761904761905,0.617142857142857,18.2253856053856,2.70333333333333,21.5458617958618,2.4747619047619,0,101.974745200525,0,10050.2488581021,1122.98153034399,46831.8319803989,6874.53967966945,54829.3531904124,10152.2236033026,1.85944444444444,2160.68864454648,38589.546,1221310.99607,1740141.41357959,23472.9896,248766.5788,1586.00427350427,0,142.183048433048
1982,58497.1095890411,65165.1260273973,8538.03287671233,41810.6849315068,6845.94520547945,56506.9698630137,63073.2630136986,9841.40547945205,41503.9178082192,6511.84109589041,8.30048913043478,0.0785641025641026,0.323959390862944,2.11553148348073,46.3595505617978,16.740847031279,0.144924242424242,15.3636683006747,9.36004299447052,0.657694327731092,3.31689061988432,7.37355567226891,1.40912573362678,10.5272980208701,108.774279446627,133.387636815479,8.03125,56930.261417288,1067.44951139233,27951.2633260711,15565.0918715895,1319.67689480251,68385.7048673041,379644.419166296,534231.325671762,16632.5413829818,13.5857142857143,2.54285714285714,0.128571428571429,7.62857142857143,0.985714285714286,45.813141923436,71.0285714285714,131.541713352007,10.1714285714286,94397.5996677401,6176.50315988449,778.150374886906,42997.1757527147,1666.6092574973,78031.8983822092,73080.441292592,247954.698974926,49173.6789125992,0.0428571428571429,0.0142857142857143,0,0.271428571428571,0.342857142857143,17.5859788359788,40.2,58.1716931216931,0.285714285714286,1585.49796818424,11.2429469132825,0,1393.17645747069,528.872493360081,52307.3836682426,39568.0132816536,93989.7674114405,1404.41940438397,13.3983333333333,2927.99581053962,82044.822,1004979.14031,3915118.11350168,34971.9552,308874.9562,2050.74786324786,0,233.008711374096
1983,98011.6630136986,102973.657534247,24336.2219178082,49907.6712328767,5080.29589041096,88767.5150684932,94949.2767123288,20504.1150684931,46895.6164383562,6205.99452054795,4.750546875,0.0657692307692308,0.294384615384615,1.2530466586743,45.5128205128205,15.9811195891513,0.117786885245902,16.0135691100433,5.97276973289316,0.0315126050420168,5.19334341691222,91.0924369747899,0.524038990596238,20.5880179840001,15.9465396575297,48.2247097819314,91.1239495798319,28837.0522535723,257.251979663403,33058.159910199,247871.054507656,1030.6584476385,126008.790878702,52139.7206827934,241074.382172906,248128.30648732,4.0452380952381,0,1.54047619047619,0.585714285714286,0.716666666666667,15.9865079365079,8.52857142857143,30.8174603174603,0.585714285714286,12287.2368493554,0,8257.88961449897,1560.70824863992,2039.60301464072,53460.8438626383,49321.4578300864,125367.03117122,1560.70824863992,0.166666666666667,0,0.0309523809523809,0.314285714285714,0.233333333333333,68.9565621467442,1.18571428571429,70.5732288134109,0.314285714285714,871.757910160647,0,281.610419225245,697.523834430844,432.722826551804,166576.462430165,6684.43969540532,174846.993281508,697.523834430844,9.95833333333333,10356.0134007182,197047.146,635413.27866,426356.651314866,39192.5037,573135.0494,2265.34576534577,0,174.821439244516
1984,26012.9508196721,34237.6338797814,1868.91256830601,24947.8142076503,6783.27868852459,42151.0710382514,48774.3633879781,6551.16666666667,31019.1256830601,5472.24043715847,8.10542682926829,0.0783333333333333,0.393575757575758,3.69814967175794,56.9241379310345,17.6606344143669,0.134090909090909,16.4808304106666,1.70656036404461,0.0178571428571429,1.30352615793792,20.5503451380552,0.522552006913877,11.4663619425043,13.2603484449335,28.2593489163342,20.5682022809124,3413.35806864451,0,443.918924632506,2805.22250059842,349.461960404984,107265.423144281,14999.9309680007,126472.093065964,2805.22250059842,3.28571428571429,0.7,0.228571428571429,238.214285714286,0.814285714285714,7.49714285714286,6.12857142857143,17.9542857142857,238.914285714286,14545.1662079959,685.127499685776,2850.25475807042,1379663.89229836,2476.55415344536,31253.7482922912,28736.60920526,79862.3326170628,1380349.01979805,0.0142857142857143,0,0.0285714285714286,0.814285714285714,0.0857142857142857,21.0649812377781,2.22857142857143,23.422124094921,0.814285714285714,33.0081392978836,0,308.21496850011,5401.97611862579,196.657397938732,45529.7555409774,8647.62707911008,54715.2631258242,5401.97611862579,12.0677777777778,15094.5814581892,152625.48,1179472.56327,2617392.42192323,35898.975,227965.3376,3051.81623931624,0,368.493863686171
1985,7482.02465753425,16838.4438356164,35.7260273972603,13859.9452054795,7994.99178082192,11611.2273972603,20677.9643835616,236.679452054795,16860.3287671233,7753.4904109589,7.61025252525253,0.116633165829146,0.506212121212121,4.34262496708232,72.7458563535912,17.2836797726538,0.158818897637795,15.8022529465917,4.03040219875829,0.060905612244898,1.13910290757717,15.7529142907163,0.319580610021787,6.74149149267322,2.71511562326951,14.9456928323,15.8138199029612,51046.5758062356,244.112349901158,9422.24413926157,61545.7264783522,770.953436321007,61521.9677786898,14143.1044314758,136904.845591984,61789.8388282533,0.8875,4.025,0.0375,67.175,0.1125,2.41139455782313,7.0625,10.5113945578231,71.2,9005.5210810375,2538.61560711239,384.507865787086,320680.547670068,472.431890362618,15544.4813269968,40376.6637995174,65783.6059637014,323219.163277181,0.0375,0.25,0.0125,0.9375,0,15.050610617832,2.5125,17.613110617832,1.1875,590.523504738405,117.724333585434,116.750195203603,4245.65011495118,0,92409.6678168765,7061.51070475367,100178.452221572,4363.37444853662,9.20972222222222,16383.4311316979,95600.454,1096671.67743,2792547.74193517,50957.3757,504972.2358,1524.86402486402,0,144.940529555914
1986,41596.8109589041,49669.0465753425,13962.3424657534,25202.7397260274,7234.6904109589,40950.1534246575,48832.6657534247,13975.6575342466,24784.2739726027,7505.12328767123,8.08159509202454,0.0884662576687117,0.415833333333333,3.29669894833603,49.1111111111111,17.2070174510892,0.155,16.2853535339653,3.8363097511732,0.0293242296918768,1.03526077097506,44.2610919367747,0.625688760352626,9.64967975826694,15.9271387721755,31.0740778129434,44.2904161664666,23627.695688167,446.148825899407,12082.6700593063,13023.2798184831,1101.80730387218,51996.1015210093,43640.9653660104,132449.239938365,13469.4286443826,1.5,0.166666666666667,0.1,34.0666666666667,1.08333333333333,28.8233949952925,10.4166666666667,41.9233949952925,34.2333333333333,32418.6574371665,431.937656224543,1057.37138172387,228435.445748103,2125.07554164842,60475.2872581099,35115.5456062459,131191.937224895,228867.383404328,0,0,0,0.733333333333333,0.2,10.7161635220126,1.31666666666667,12.2328301886792,0.733333333333333,0,0,0,5225.83964361214,671.878132672261,21063.8444151269,4048.86126118676,25784.5838089859,5225.83964361214,5.15138888888889,8017.58785987308,109572.022,1007594.45516,3464665.40866367,43152.2322,374822.5438,619.155354449472,0,185.563870518622
1987,7528.06849315068,15640.4328767123,48.1205479452055,13215.5068493151,7085.15890410959,8352.67397260274,16956.7178082192,48.1178082191781,13869.9726027397,7193.7698630137,5.23532258064516,0.128155339805825,0.576103286384977,5.66451527570489,64.2222222222222,18.2504735390022,0.172330827067669,16.6165633030901,1.92521019771545,0.0567226890756303,1.58358434282804,4.52107968187275,0.836294517807123,3.50737751685756,2.73814150660264,10.5906080818108,4.57780237094838,24153.016767448,2416.94902247611,18866.6850506378,4357.72369513453,1599.17969858657,25521.2839302812,23747.2087350839,93887.3741820375,6774.67271761063,1.01428571428571,0.828571428571429,0,25.4714285714286,0.142857142857143,1.95952380952381,9.84285714285714,12.9595238095238,26.3,10958.2988108395,953.120111917475,0,170015.543491247,372.906384506488,8132.74040110794,67126.5394359695,86590.4850324235,170968.663603164,0,0,0,0.342857142857143,0,10.4931176999102,1.85714285714286,12.350260557053,0.342857142857143,0,0,0,1900.13155239566,0,24468.0958149758,5669.05425978811,30137.1500747639,1900.13155239566,9.13888888888889,13024.69729371,219442.28,735733.6678,1156405.4183688,45339.8293,328491.5964,608.796296296296,1336.89458689459,61.1165899627438
