Year,Region,Amphipods_BPUE,Cladoceran_BPUE,Herbivorous_Copepods_BPUE,Mysida_BPUE,Predatory_Copepods_BPUE,Amphipods_CPUE,Cladoceran_CPUE,Herbivorous_Copepods_CPUE,Mysida_CPUE,Predatory_Copepods_CPUE
1986,South,0,42839.67,157440.54799,3676107.394900068,13393.0608,0,71399.45,45846.020000000004,2143.13,3986.0299999999997
1986,West,0,1942.8959999999997,576625.82861,19847631.76085109,21358.0248,0,3238.16,163700.34,15303.21,11091.38
1987,North,0,345.36,137108.38577999998,1703687.5773593024,2082.3999,0,575.6,39126.32,1118.1100000000001,5881.19
1987,South,0,54084.804000000004,175571.79846,1211494.6912180285,4817.7715,0,90141.34,50851.27,792.32,2524.31
1987,West,0,41.07599999999999,158371.3749,6336061.078373088,38439.6579,0,68.46,44797.89,2771.53,121272.09
1988,North,0,273.054,99568.69814000001,1373805.5686458969,1081.2249,0,455.09,34481.24,1602.74,2970.54
1988,South,0,12753.552,86929.34955,679506.818883604,2864.9775,0,21255.920000000002,29973.45,563.35,4048.8999999999996
1988,West,0,0.9239999999999999,43767.96967,2855012.5338041834,19933.0285,0,1.54,14066.69,1411.72,92957.06
1989,North,0,427.464,278434.00563,885281.646736725,1658.7774,0,712.44,149771.43,367.27,3163.4399999999996
1989,South,0,25652.843999999997,257202.59619,499562.49778207316,2550.2924999999996,0,42754.74,179562.51,141.72,4969.9
1989,West,0,501.798,611476.68226,4403061.07796394,15395.8488,0,836.3299999999999,370439.66,2856.28,48442.07
1990,North,0,117.012,238676.43179,363527.36277441814,3038.2106999999996,0,195.02,112866.04,346.91,13184.119999999999
1990,South,0,3208.74,247177.62318000002,219387.0361208184,1904.8385999999998,0,5347.9,135646.37,108.09,5284.21
1990,West,0,11.466,331134.82227,2457354.0821104306,29413.3871,0,19.11,226330.09,1641.99,134129.89
1991,North,0,167.028,149426.70284,363947.7536321661,2929.8507,0,278.38,67384.8,286.48,10798.22
1991,South,0,1939.494,252695.3506,161038.36357578926,1382.0643999999998,0,3232.49,129095.88,155.95,2463.74
1991,West,0,23.256,206492.41805,3924403.603379466,21737.450699999998,0,38.76,288924.57,1901.1100000000001,85990.17
1992,North,0,567.144,125996.20318000001,251079.6429939684,3096.4563,0,945.24,62060.13,112.78999999999999,12634.38
1992,South,0,38853.797999999995,401416.96928,156521.08327272354,2520.0525,0,64756.33,193899.58,48.15,3980.8
1992,West,0,61.65599999999999,180027.18619,740345.266769113,63465.4915,0,102.76,120077.9,242.93,295296.15
1993,North,0,4984.434,168319.99265,165841.51669439362,6319.424999999999,0,8307.39,89195.7,99.53,4619.8
1993,South,0,12573.653999999999,243344.16272,31825.541664066484,6571.2128999999995,0,20956.09,145059.05,19.78,11407.19
1993,West,0,4344.684,432720.84144,2995021.783825677,14876.828399999999,0,7241.14,246890.16999999998,1251.09,38243.74
1994,North,0,111.52799999999999,42590.27865,310196.1834209301,43232.242699999995,0,185.88,26568.39,264.75,18306.04
1994,South,0,1951.0919999999999,155634.4329,14659.460872626913,10988.54674,0,3251.82,95705.7,61.19,4629.95
1994,West,0,164.17200000000003,46239.95473,414851.6671584425,43682.86314,0,273.62,47844.22,488.83,39429.92
1995,North,0,2830.6259999999997,38640.25882,17448.35884832076,9098.55456,0,4717.71,21091.3,18.66,3133.92
1995,South,0,3723.54,70730.2174,2368.691405085012,3499.5485400000002,0,6205.9,41167.03,22.2,1704.82
1995,West,0,2916,184567.73691,341684.58788303786,37396.95838,0,4860,111742.88,448.12,14982.89
1996,North,0,943.02,49624.95911,165699.78227620077,12191.62976,0,1571.7,26225.98,198.51,4974.3
1996,South,0,4016.286,96942.41092000001,35803.64849116482,6380.28334,0,6693.81,62996.909999999996,70.32000000000001,2782.96
1996,West,0,1232.946,130619.0427,335217.26167703094,26714.89182,0,2054.91,68037.61,669.7,12181.45
1997,North,0,497.37,51751.16088,156705.6096514823,23301.8321,0,828.95,32130.39,130.57,8782.69
1997,South,0,2004.228,104913.06203,8549.657945937364,19333.320659999998,0,3340.38,51568.85,286.36,6905.8
1997,West,0,354.714,87629.19864,946787.4374559387,40730.852,0,591.19,52720.64,1449,26415.65
1998,Far West,0,0,6049.13512,0,3375.51014,0,0,4740.67,11.07,15704.99
1998,North,0,2844.42,49663.83215,82021.1745344775,6587.4917,0,4740.7,30251.41,409.8,3262.16
1998,South,0,3415.026,194769.36941,21531.775400705097,3062.97804,0,5691.71,88089.81999999999,212.12,2066.3
1998,West,0,4094.4359999999997,233905.20461000002,850400.130286058,44792.60164,0,6824.06,124549.56999999999,1908.35,38582.26
1999,Far West,0,31.548,1542.51343,0,8433.063259999999,0,52.58,2811.54,40.22,12421.7
1999,North,0,949.158,59385.903340000004,248606.88830526223,2828.04862,0,1581.93,42632.94,557.15,880.32
1999,South,0,2392.38,149134.64884,30422.768106578314,1855.15356,0,3987.3,101891,130.72,571.97
1999,West,0,935.976,211328.40325,2022840.2839404952,14472.496659999999,0,1559.96,179678.2,1907.04,9229.26
2000,Far West,0,0,2940.9392900000003,0,16382.426,0,0,2618.89,63.53,23764.36
2000,North,0,468.042,97826.58336,357823.7741691589,6177.57176,0,780.0699999999999,50488.340000000004,584.2,2768.97
2000,South,0,2460.564,128918.35883,133053.31975141025,3713.09426,0,4100.94,99959.98,533.71,3882.73
2000,West,0,566.694,155435.51662,2062392.2207366298,10204.5884,0,944.49,149839.66,2008,6355.5199999999995
2001,Far West,0,0,708.008,0,6812.6383,0,0,676.88,70.86999999999999,32053.100000000002
2001,North,0,295.464,50640.27871,410373.88153952436,26615.18898,0,492.44,35523.29,381.24,16860.85
2001,South,0,1641.492,87497.69784000001,64826.87160822575,10715.32874,0,2735.82,162301.61,331.2,8992.25
2001,West,0,311.742,65003.20351,627501.7851721877,41263.16944,0,519.57,149317.56,508.75,25802.94
2002,Far West,0,0,1682.2167700000002,0,1227.4399199999998,0,0,396.01,61.43,4430.8099999999995
2002,North,0,578.202,66191.33372,297531.52337374055,23130.41356,0,963.67,56090.71,527.88,8548.59
2002,South,0,6436.842,129163.74118,56754.55962140215,13944.956359999998,0,10728.07,147365.77,187.82999999999998,5661.0599999999995
2002,West,0,241.146,75544.00308000001,931063.8415007611,33864.90576,0,401.90999999999997,165651.95,915.64,26207.129999999997
2003,Far West,0,0,852.0484,0,1842.8579,0,0,1898.2499999999998,13.01,7942.62
2003,North,0,1644.1019999999999,54974.28042,142766.5254683169,25065.26322,0,2740.17,34815.87,309.08,10359.5
2003,South,0,6090.258,99667.38802,8055.684316538267,8423.643559999999,0,10150.43,84909.16,40.33,7375.37
2003,West,0,3213.42,121457.23083,916004.4262643424,46492.626339999995,0,5355.7,139837.44,1025.52,40345.11
2004,Far West,0,0.966,2129.22854,0,2313.22074,0,1.61,2755.31,59.52,10548.88
2004,North,0,929.6999999999999,70490.46532999999,309837.637752958,37947.56258,0,1549.5,31975.97,310.18,20880.85
2004,South,0,3515.6699999999996,154013.62423000002,72150.34634838541,14991.83636,0,5859.45,81159.78,43.57,12872.07
2004,West,0,848.562,89073.41973,620351.6750061004,42427.53712,0,1414.27,120283.48,613.09,32229.82
2005,Far West,0,0,3376.98669,0,3366.075,0,0,1323.92,8.33,15237.66
2005,North,0,504.84,44277.97988,162876.59629001137,23676.97714,0,841.4,29029.13,404.56,11988.67
2005,South,0,1744.3799999999999,104583.58781000001,1381.536550416717,8020.68368,0,2907.3,81115.07,25.07,18498.260000000002
2005,West,0,315.054,108297.32322,567616.1427550511,42764.945439999996,0,525.09,135966.3,495.93,39406.37
2006,Far West,0,11.472,3651.53948,0,1510.04374,0,19.12,10001.88,51.18,6068.53
2006,North,0,1875.4499999999998,56331.94234,90903.73749817032,22622.01748,0,3125.75,29678.94,408.02,9512.25
2006,South,0,4346.334,97876.71641000001,4739.593511754066,7767.8107,0,7243.89,60019.26,47.36,5143.85
2006,West,0,3447.978,246102.88769,649075.972889766,75484.05746,0,5746.63,186862.91,755.54,40174.4
2007,Far West,0,4.692,1431.35641333827,0,1045.93312,0,7.82,3153.77,14.22,4371.2
2007,North,0,271.36199999999997,54881.07983257193,29675.725759973895,26764.63208,0,452.27,229355.56,86.17,10419.76
2007,South,0,925.986,117868.52569200356,11331.84472837283,11756.157019999999,0,1543.31,177833,46.62,5365.74
2007,West,0,327.624,198399.31075304208,271706.77334614226,40879.4965,0,546.04,1259142.94,395.59,19906.61
2008,Far West,0,0,1788.13324351156,0,1616.83244,0,0,3342.0499999999997,34.160000000000004,6902.08
2008,North,0,168.828,116977.37353964998,197751.92964638938,36899.62542,0,281.38,528801.13,280.1,14965.63
2008,South,0,937.0319999999999,205481.34558251614,43166.518695000836,12320.05732,0,1561.72,188435.21,130.55,5166.19
2008,West,0,159.822,291345.9684939411,1496926.8608490564,52793.6188,0,266.37,1716827.72,1403.09,31210.93
2009,Far West,0,0,7048.98745308739,0,4340.60878,0,0,2030.8799999999999,13.63,19538.49
2009,North,0,260.106,71238.64924530701,46981.619449459926,38454.10468,0,433.51,371755.2,141.13,14980.37
2009,South,0,1005.3599999999999,152839.27388511252,11934.806955280199,10983.66242,0,1675.6,161170.6,41.23,4969.49
2009,West,0,130.698,194111.66941542228,246272.08508625237,58308.27318,0,217.83,1403037.91,288.47,41292.08
2010,Far West,0,0,5016.90045158352,0,3101.25574,0,0,12502.369999999999,62.47,13616.52
2010,North,0,325.326,78104.15744209629,202462.1947632852,20640.44166,0,542.21,265894.01,264.15,8102.07
2010,South,0,1825.038,144139.7250438599,24979.163972883656,5456.2347199999995,0,3041.73,174947.17,67.21,2198.13
2010,West,0,489.79200000000003,217421.73762771595,1063696.9707275587,43197.3738,0,816.32,1076817.1300000001,1271.2,22885.52
2011,Far West,0,11.04,11053.38774723159,0,2371.1769799999997,0,18.4,74597.38,63.370000000000005,7742.32
2011,North,0,930.168,46271.644696539544,38022.12885034917,21043.44314,0,1550.28,88014.67,146.47,7961.47
2011,South,0,3407.4179999999997,139652.69116035567,2652.2011126203347,5478.0225199999995,0,5679.03,89622.01,77.81,2564.38
2011,West,0,2828.982,285085.52592664986,269604.7150597015,99053.16326,0,4714.97,925633.77,584.16,49746.85
2012,Far West,0,0,5841.264676194341,0,2254.4792199999997,0,0,7475.6900000000005,61.5,9781.48
2012,North,0,279.882,93996.64330434789,141785.23051055483,24658.446979999997,0,466.46999999999997,364161,217.36,9574.19
