Calendar_Year,Mean_outflow_CY,Mean_inflow_CY,Mean_YOLO_CY,Mean_SAC_CY,Mean_Export_CY,Water_year,Mean_outflow_WY,Mean_inflow_WY,Mean_YOLO_WY,Mean_SAC_WY,Mean_Export_WY
1987,7528.068493150685,15640.432876712328,48.12054794520548,13215.506849315068,7085.1589041095895,1987,8352.673972602739,16956.71780821918,48.11780821917808,13869.972602739726,7193.769863013698
1988,5979.628415300546,15258.849726775956,161.46994535519124,13339.125683060109,7861.418032786885,1988,6029.568306010929,15342.841530054644,161.46994535519124,13375.437158469946,7975.521857923497
1989,8866.47397260274,19838.80821917808,61.8054794520548,17952.49315068493,9563.48493150685,1989,9052.528767123287,18820.846575342464,62.07123287671233,16990.109589041094,8523.74794520548
1990,5341.161643835617,13538.093150684932,28.671232876712327,12108.575342465754,6722.241095890411,1990,5379.315068493151,15173.558904109588,28.783561643835615,13646.712328767124,8286.575342465754
1991,6059.789041095891,11729.345205479452,107.8986301369863,10415.479452054795,4557.706849315068,1991,5959.8794520547945,11780.331506849316,105.17808219178082,10459.72602739726,4643.413698630137
1992,7473.603825136612,12546.573770491803,133.14207650273224,11073.08743169399,3985.407103825137,1992,7081.349726775957,12543.620218579235,133.73497267759564,11084.234972677596,4260.857923497268
1993,26705.764383561644,35628.49315068493,2631.4,28866.575342465752,8350.071232876713,1993,26308.690410958905,33517.94520547945,2633.1698630136984,27116.575342465752,6658.093150684931
1994,7696.92602739726,14013.189041095891,42.9972602739726,12102.739726027397,5000.260273972603,1994,8256.720547945206,15284.671232876712,42.63835616438356,13126.630136986301,5784.969863013699
1995,60214.24931506849,67501.18630136986,15300.123287671233,39782.46575342466,7042.827397260274,1995,57737.3698630137,65329.5698630137,15215.241095890411,38329.260273972606,7186.3369863013695
1996,39485.84699453552,48263.34972677596,5455.459016393443,34079.50819672131,8289.882513661201,1996,35107.120218579235,43314.543715846994,4704.002732240438,31098.907103825135,7436.661202185793
1997,41503.11232876712,49989.32054794521,12749.712328767124,25818.76712328767,7241.169863013699,1997,47426.60547945205,55540.85205479452,13527.665753424657,29027.04109589041,7123.8027397260275
1998,63611.24657534246,69721.25205479452,11641.879452054794,42799.17808219178,5563.213698630137,1998,59339.30136986302,66317.54520547946,11624.635616438356,40077.75342465754,6641.758904109589
1999,26233.731506849315,35147.83287671233,2191.2438356164384,26839.178082191782,7485.191780821918,1999,31169.342465753423,39181.82465753425,2250.5178082191783,30070.95890410959,6730.772602739726
2000,24628.382513661203,34448.97267759563,4073.25956284153,24859.83606557377,8941.521857923497,2000,25052.639344262294,34774.93169398907,4079.344262295082,25290.437158469944,8750.08743169399
2001,11385.342465753425,18868.87671232877,662.7835616438356,15411.534246575342,6578.2054794520545,2001,9632.542465753424,17939.824657534245,506,14527.232876712329,7067.4301369863015
2002,12970.128767123288,21878.531506849315,1049.5863013698631,18333.671232876713,7590.3835616438355,2002,12696.249315068493,21646.28493150685,978.3534246575342,18101.397260273974,7698.375342465753
2003,18961.446575342467,29357.068493150684,1433.9068493150685,25321.780821917808,9036.583561643836,2003,19438.213698630138,29456.68493150685,1549.7780821917809,25283.424657534248,8734.29315068493
2004,19992.494535519127,29558.48087431694,4212.838797814207,22863.114754098362,8435.191256830602,2004,20594.852459016394,30406.751366120217,4308.306010928962,23594.398907103827,8464.543715846994
2005,23419.487671232877,34010.65205479452,1861.7835616438356,24854.246575342466,9593.191780821919,2005,21323.12876712329,30964.50410958904,981.9369863013699,23131.780821917808,8936.408219178082
2006,54503.109589041094,64121.778082191784,14583.77808219178,36238.54794520548,8681.94794520548,2006,57397.109589041094,66967.57260273973,15472.887671232877,38112.05479452055,8722.438356164384
2007,8308.961643835617,17138.679452054796,339.14794520547946,14466.82191780822,7171.353424657535,2007,8567.808219178081,18228.805479452054,341.9397260273973,15153.287671232876,8020.3369863013695
2008,9360.396174863388,15255.590163934427,579.5655737704918,12687.295081967213,4441.8879781420765,2008,9283.445355191257,15900.295081967213,574.9043715846994,13219.15300546448,5145.743169398907
2009,9561.476712328767,16319.613698630137,436.4109589041096,14036.082191780823,5401.942465753425,2009,9450.175342465753,15915.446575342467,437.47945205479454,13777.561643835616,5073.550684931507
2010,17703.75616438356,26369.098630136985,906.4438356164384,21148.84931506849,7704.5150684931505,2010,14037.632876712329,21841.909589041097,800.0109589041095,17648.164383561645,6593.41095890411
2011,34223.15616438356,44727.4,3505.6931506849314,29348.219178082192,9043.183561643835,2011,37191.77260273973,47443.830136986304,3615.3671232876713,31547.287671232876,9224.8
2012,13955.953551912567,21590.983606557376,631.8770491803278,18712.486338797815,6409.368852459016,2012,11130.051912568306,19612.224043715847,319.05737704918033,16634.043715846994,6847.926229508197
2013,8897.676712328766,15718.813698630138,390.95616438356166,13628.794520547945,4895.008219178082,2013,12651.942465753425,20034.564383561643,697.7698630136987,17390.821917808218,5898.789041095891
2014,8378.071232876713,12551.194520547946,557.6054794520549,10778.493150684932,2849.1260273972603,2014,5925.852054794521,10414.638356164383,326.7780821917808,8904.684931506848,2814.290410958904
2015,6486.9342465753425,10559.94794520548,481.7041095890411,8641.835616438357,2297.2602739726026,2015,8600.416438356164,12903.742465753425,708.6328767123288,10618.246575342466,2678.8301369863016
2016,18464.166666666668,25915.34699453552,1444.950819672131,22533.82513661202,6249.620218579235,2016,15688.964480874318,21837.920765027324,1273.2622950819673,18920.628415300547,4833.573770491803
2017,64930.92602739726,74635.64109589042,20094.857534246574,37692.05479452055,8835.153424657534,2017,67175.70410958905,76659.08767123288,20266.156164383563,39829.17808219178,8928.397260273972
2018,13332.123287671233,20586.45205479452,355.0383561643836,16948.54794520548,6179.164383561644,2018,13520.101369863014,21337.1698630137,371.86301369863014,17407.616438356163,6364.12602739726
2019,38870.45205479452,46903.92054794521,5256.8027397260275,32385.013698630137,7253.750684931507,2019,37886.95068493151,45885.54794520548,5253.950684931507,31671.068493150684,7381.87397260274
2020,8288.233576642337,15023.12408759124,85.8905109489051,12872.372262773722,4679.507299270073,2020,9110.289617486338,15836.63387978142,85.14480874316939,13360.819672131147,5037.073770491803
