MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2002-07-01T07:00:00Z,Secchi,NA,80,54,32,52,32,60,96,36,90,56,20,54,96,22
2002-08-01T07:00:00Z,Secchi,NA,120,34,52,68,36,78,112,38,130,46,28,36,114,56
2002-09-01T07:00:00Z,Secchi,NA,108,76,56,70,36,80,134,46,112,48,22,48,116,72
2002-10-01T07:00:00Z,Secchi,NA,168,36,54,60,36,78,94,30,130,84,36,36,128,46
2002-11-01T08:00:00Z,Secchi,NA,130,52,52,86,32,130,NA,36,116,60,36,36,140,104
2002-12-01T08:00:00Z,Secchi,NA,140,52,70,96,56,116,124,58,130,76,26,44,164,102
2003-01-01T08:00:00Z,Secchi,NA,NA,30,28,20,36,24,42,36,96,90,18,24,52,52
2003-02-01T08:00:00Z,Secchi,NA,44,56,58,46,56,52,50,52,136,72,NA,60,108,82
2003-03-01T08:00:00Z,Secchi,NA,104,50,54,114,72,120,194,52,90,86,50,56,140,82
2003-04-01T08:00:00Z,Secchi,NA,112,32,40,70,56,88,120,40,90,60,36,48,120,60
2003-05-01T07:00:00Z,Secchi,NA,60,36,48,50,48,52,110,42,94,26,12,40,96,68
2003-06-01T07:00:00Z,Secchi,NA,92,24,36,50,34,62,76,30,116,48,16,32,112,76
2003-07-01T07:00:00Z,Secchi,NA,96,44,44,64,44,68,100,44,140,60,30,42,128,60
2003-08-01T07:00:00Z,Secchi,NA,90,32,40,76,36,90,100,34,120,56,22,24,120,66
2003-09-01T07:00:00Z,Secchi,NA,88,40,56,80,36,94,132,32,136,60,32,50,130,94
2003-10-01T07:00:00Z,Secchi,NA,180,86,76,100,56,130,190,90,124,80,70,92,176,76
2003-11-01T08:00:00Z,Secchi,NA,135,56,80,120,56,136,NA,94,116,90,44,48,150,96
2003-12-01T08:00:00Z,Secchi,NA,50,38,44,86,40,80,212,40,88,58,28,40,170,96
2004-01-01T08:00:00Z,Secchi,NA,22,32,32,44,40,48,52,36,76,38,24,52,70,58
2004-02-01T08:00:00Z,Secchi,NA,56,42,40,18,52,20,40,42,72,28,14,38,56,70
2004-03-01T08:00:00Z,Secchi,NA,24,36,48,56,56,56,90,52,72,32,36,36,92,80
2004-04-01T08:00:00Z,Secchi,NA,104,44,40,80,58,74,76,52,54,32,40,32,108,70
2004-05-01T07:00:00Z,Secchi,NA,96,24,34,50,36,52,62,30,94,40,32,36,110,32
2004-06-01T07:00:00Z,Secchi,NA,70,40,36,34,32,52,60,40,72,56,36,42,92,64
2004-07-01T07:00:00Z,Secchi,NA,96,40,40,52,32,70,90,40,64,40,20,36,92,52
2004-08-01T07:00:00Z,Secchi,NA,142,40,56,70,40,96,112,60,100,54,44,60,112,72
2004-09-01T07:00:00Z,Secchi,NA,118,72,60,70,70,72,110,70,134,78,52,76,112,80
2004-10-01T07:00:00Z,Secchi,NA,180,60,64,76,40,92,182,60,132,54,40,60,110,76
2004-11-01T08:00:00Z,Secchi,NA,98,32,52,85,40,120,180,46,116,80,58,52,154,110
2004-12-01T08:00:00Z,Secchi,NA,40,42,36,80,50,90,176,36,124,70,22,38,150,110
2005-01-01T08:00:00Z,Secchi,NA,32,28,32,34,32,34,76,30,85,68,22,40,50,34
2005-02-01T08:00:00Z,Secchi,NA,36,52,60,76,88,78,116,52,100,72,40,52,104,98
2005-03-01T08:00:00Z,Secchi,NA,96,52,72,120,56,134,116,64,76,48,32,60,140,70
2005-04-01T08:00:00Z,Secchi,NA,72,52,76,86,60,80,110,60,90,60,34,52,80,58
2005-05-01T07:00:00Z,Secchi,NA,32,32,62,80,58,76,134,50,80,38,20,56,102,62
2005-06-01T07:00:00Z,Secchi,NA,76,60,76,96,70,92,136,70,82,72,24,60,100,50
2005-07-01T07:00:00Z,Secchi,NA,76,36,52,80,48,102,156,48,102,66,24,40,92,48
2005-08-01T07:00:00Z,Secchi,NA,NA,50,52,66,40,100,126,50,120,60,24,52,80,52
2005-09-01T07:00:00Z,Secchi,NA,NA,38,42,100,52,108,192,56,122,60,32,50,104,62
2005-10-01T07:00:00Z,Secchi,NA,130,76,56,90,52,134,184,56,120,80,36,56,120,56
2005-11-01T08:00:00Z,Secchi,NA,NA,60,74,80,60,110,180,76,116,76,70,64,170,98
2005-12-01T08:00:00Z,Secchi,NA,NA,50,60,76,50,80,82,54,86,56,36,54,118,96
2006-01-01T08:00:00Z,Secchi,NA,48,36,36,40,20,52,100,30,80,36,20,26,70,56
2006-02-01T08:00:00Z,Secchi,NA,36,56,58,52,60,60,60,56,80,56,24,50,80,62
2006-03-01T08:00:00Z,Secchi,NA,37,32,60,60,36,64,114,36,60,40,20,42,76,42
2006-04-01T08:00:00Z,Secchi,NA,40,44,64,32,34,76,72,48,50,30,22,40,64,46
2006-05-01T07:00:00Z,Secchi,NA,56,50,80,100,56,120,96,54,58,36,30,56,84,76
2006-06-01T07:00:00Z,Secchi,NA,72,20,56,70,52,76,94,40,60,40,20,40,56,50
2006-07-01T07:00:00Z,Secchi,NA,84,36,42,64,36,80,116,32,72,52,30,40,56,54
2006-08-01T07:00:00Z,Secchi,NA,87,40,50,80,40,68,110,30,80,60,20,32,35,60
