MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2005-10-01T07:00:00Z,DissOrthophos,0.13,0.07,NA,NA,NA,NA,0.05,0.04,0.07,0.07,0.08,0.07,0.08,0.02,0.11
2005-11-01T08:00:00Z,DissOrthophos,0.12,0.07,NA,NA,NA,NA,0.06,0.04,0.07,0.07,0.08,0.07,0.07,0.03,0.06
2005-12-01T08:00:00Z,DissOrthophos,0.16,0.07,NA,NA,NA,NA,0.06,0.05,0.07,0.08,0.08,0.08,0.07,0.07,0.16
2006-01-01T08:00:00Z,DissOrthophos,0.06,0.03,NA,NA,NA,NA,0.05,0.06,0.04,0.05,0.05,0.04,0.04,0.18,0.09
2006-02-01T08:00:00Z,DissOrthophos,0.04,0.02,NA,NA,NA,NA,0.03,0.03,0.03,0.05,0.05,0.04,0.03,0.02,0.06
2006-03-01T08:00:00Z,DissOrthophos,0.03,0.02,NA,NA,NA,NA,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.08,0.04
2006-04-01T08:00:00Z,DissOrthophos,0.06,0.02,NA,NA,NA,NA,0.05,0.06,0.03,0.04,0.03,0.03,0.03,0.08,0.06
2006-05-01T07:00:00Z,DissOrthophos,0.06,0.02,NA,NA,NA,NA,0.04,0.07,0.03,0.03,0.04,0.03,0.03,0.08,0.06
2006-06-01T07:00:00Z,DissOrthophos,0.05,0.04,NA,NA,NA,NA,0.05,0.08,0.06,0.06,0.06,0.06,0.05,0.07,0.04
2006-07-01T07:00:00Z,DissOrthophos,0.05,0.04,NA,NA,NA,NA,0.04,0.05,0.05,0.07,0.06,0.06,0.04,0.04,0.07
2006-08-01T07:00:00Z,DissOrthophos,0.05,0.05,NA,NA,NA,NA,0.04,0.04,0.05,0.08,0.07,0.06,0.06,0.02,0.08
2006-09-01T07:00:00Z,DissOrthophos,0.06,0.05,NA,NA,NA,NA,0.04,0.04,0.05,0.08,0.07,0.06,0.06,0.02,0.08
2006-10-01T07:00:00Z,DissOrthophos,0.06,0.04,NA,NA,NA,NA,0.04,0.04,0.06,0.07,0.08,0.07,0.06,0.02,0.1
2006-11-01T08:00:00Z,DissOrthophos,0.1,0.06,NA,NA,NA,NA,0.04,0.04,0.06,0.07,0.06,0.06,0.06,0.03,0.06
2006-12-01T08:00:00Z,DissOrthophos,0.1,0.04,NA,NA,NA,NA,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.03,0.09
2007-01-01T08:00:00Z,DissOrthophos,0.08,0.04,NA,NA,NA,NA,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.02,0.15
2007-02-01T08:00:00Z,DissOrthophos,0.1,0.05,NA,NA,NA,NA,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.01,0.19
2007-03-01T08:00:00Z,DissOrthophos,0.09,0.04,NA,NA,NA,NA,0.04,0.04,0.03,0.04,0.05,0.05,0.05,0.04,0.19
2007-04-01T07:00:00Z,DissOrthophos,0.07,0.04,NA,NA,NA,NA,0.04,0.04,0.05,0.06,0.06,0.06,0.06,0.02,0.25
2007-05-01T07:00:00Z,DissOrthophos,0.08,0.05,NA,NA,NA,NA,0.04,0.03,0.06,0.06,0.06,0.07,0.07,0.02,0.1
2007-06-01T07:00:00Z,DissOrthophos,0.05,0.07,NA,NA,NA,NA,0.06,0.06,0.07,0.08,0.09,0.06,0.08,0.05,0.11
2007-07-01T07:00:00Z,DissOrthophos,0.07,0.04,NA,NA,NA,NA,0.04,0.05,0.07,0.09,0.09,0.09,0.09,0.04,0.1
2007-08-01T07:00:00Z,DissOrthophos,0.08,0.06,NA,NA,NA,NA,0.05,0.04,0.06,0.04,0.09,0.08,0.07,0.04,0.09
2007-09-01T07:00:00Z,DissOrthophos,0.12,0.04,NA,NA,NA,NA,0.05,0.04,0.06,0.06,0.06,0.08,0.07,0.02,0.06
2007-10-01T07:00:00Z,DissOrthophos,0.12,0.06,NA,NA,NA,NA,0.06,0.04,0.06,0.06,0.08,0.08,0.07,0.02,0.1
2007-11-01T07:00:00Z,DissOrthophos,0.11,0.08,NA,NA,NA,NA,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.02,0.08
2007-12-01T08:00:00Z,DissOrthophos,0.09,0.06,NA,NA,NA,NA,0.06,0.05,0.07,0.06,0.06,0.07,0.07,0.03,0.09
2008-01-01T08:00:00Z,DissOrthophos,0.15,0.05,NA,NA,NA,NA,0.05,0.05,0.12,0.05,0.06,0.06,0.06,0.14,0.25
2008-02-01T08:00:00Z,DissOrthophos,0.18,0.05,NA,NA,NA,NA,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.14,0.21
2008-03-01T08:00:00Z,DissOrthophos,0.15,0.05,NA,NA,NA,NA,0.05,0.03,0.07,0.04,0.07,0.06,0.06,0.05,0.19
2008-04-01T07:00:00Z,DissOrthophos,0.05,0.06,NA,NA,NA,NA,0.04,0.04,0.06,0.06,0.05,0.07,0.07,0.03,0.1
2008-05-01T07:00:00Z,DissOrthophos,0.06,0.08,NA,NA,NA,NA,0.05,0.04,0.06,0.07,0.08,0.08,0.08,0.05,0.1
2008-06-01T07:00:00Z,DissOrthophos,0.02,0.07,NA,NA,NA,NA,0.05,0.06,0.08,0.07,0.08,0.07,0.09,0.06,0.08
2008-07-01T07:00:00Z,DissOrthophos,0.05,0.1,NA,NA,NA,NA,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.07,0.11
2008-08-01T07:00:00Z,DissOrthophos,0.07,0.09,NA,NA,NA,NA,0.07,0.07,0.06,0.08,0.09,0.08,0.09,0.06,0.1
2008-09-01T07:00:00Z,DissOrthophos,0.1,0.09,NA,NA,NA,NA,0.07,0.06,0.08,0.07,0.09,0.08,0.09,0.05,0.11
2008-10-01T07:00:00Z,DissOrthophos,0.09,0.08,NA,NA,NA,NA,0.07,0.05,0.08,0.08,0.09,0.08,0.09,0.04,0.11
2008-11-01T07:00:00Z,DissOrthophos,0.09,0.08,NA,NA,NA,NA,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.03,0.08
2008-12-01T08:00:00Z,DissOrthophos,0.06,0.07,NA,NA,NA,NA,0.07,0.07,0.09,0.08,0.08,0.12,0.09,0.03,0.08
2009-01-01T08:00:00Z,DissOrthophos,0.07,0.1,NA,NA,NA,NA,0.08,0.08,0.09,0.07,0.08,0.08,0.09,0.03,0.09
2009-02-01T08:00:00Z,DissOrthophos,0.11,0.04,NA,NA,NA,NA,0.06,0.06,0.09,0.07,0.08,0.08,0.09,0.07,0.09
2009-03-01T08:00:00Z,DissOrthophos,0.12,0.08,NA,NA,NA,NA,0.06,0.05,0.08,0.07,0.07,0.07,0.08,0.09,0.11
2009-04-01T07:00:00Z,DissOrthophos,0.06,0.07,NA,NA,NA,NA,0.06,0.06,0.08,0.08,0.09,0.08,0.09,0.06,0.09
2009-05-01T07:00:00Z,DissOrthophos,0.05,0.06,NA,NA,NA,NA,0.05,0.05,0.06,0.07,0.08,0.06,0.06,0.07,0.12
2009-06-01T07:00:00Z,DissOrthophos,0.02,0.07,NA,NA,NA,NA,0.05,0.06,0.06,0.06,0.08,0.07,0.07,0.06,0.12
2009-07-01T07:00:00Z,DissOrthophos,0.04,0.02,NA,NA,NA,NA,0.04,0.06,0.06,0.05,0.08,0.08,0.08,0.04,0.09
2009-08-01T07:00:00Z,DissOrthophos,0.06,0.02,NA,NA,NA,NA,0.04,0.04,0.03,0.04,0.05,0.04,0.05,0.04,0.06
2009-09-01T07:00:00Z,DissOrthophos,0.1,0.07,NA,NA,NA,NA,0.05,0.05,0.06,0.07,0.08,0.08,0.08,0.02,0.08
2009-10-01T07:00:00Z,DissOrthophos,0.07,0.05,NA,NA,NA,NA,0.06,0.05,0.07,0.07,0.08,0.08,0.08,0.03,0.09
2009-11-01T07:00:00Z,DissOrthophos,0.08,0.06,NA,NA,NA,NA,0.06,0.05,0.08,0.07,0.08,0.08,0.08,0.02,0.09
2009-12-01T08:00:00Z,DissOrthophos,0.07,0.05,NA,NA,NA,NA,0.04,0.04,0.07,0.06,0.07,0.07,0.08,0.01,0.05
2010-01-01T08:00:00Z,DissOrthophos,0.07,0.05,NA,NA,NA,NA,0.06,0.04,0.07,0.05,0.06,0.06,0.07,0.04,0.08
2010-02-01T08:00:00Z,DissOrthophos,0.13,0.04,NA,NA,NA,NA,0.05,0.06,0.06,0.05,0.06,0.05,0.05,0.14,0.19
2010-03-01T08:00:00Z,DissOrthophos,0.15,0.05,NA,NA,NA,NA,0.06,0.05,0.05,0.06,0.08,0.07,0.06,0.19,0.17
2010-04-01T07:00:00Z,DissOrthophos,0.08,0.08,NA,NA,NA,NA,0.04,0.05,0.06,0.06,0.07,0.07,0.06,0.08,0.15
2010-05-01T07:00:00Z,DissOrthophos,0.04,0.04,NA,NA,NA,NA,0.04,0.05,0.04,0.06,0.06,0.04,0.05,0.04,0.07
2010-06-01T07:00:00Z,DissOrthophos,0.04,0.04,NA,NA,NA,NA,0.04,0.05,0.03,0.06,0.06,0.05,0.05,0.06,0.06
2010-07-01T07:00:00Z,DissOrthophos,0.03,0.04,NA,NA,NA,NA,0.04,0.06,0.05,0.07,0.08,0.08,0.07,0.08,0.09
2010-08-01T07:00:00Z,DissOrthophos,0.08,0.03,NA,NA,NA,NA,0.03,0.04,0.04,0.08,0.08,0.08,0.06,0.04,0.14
2010-09-01T07:00:00Z,DissOrthophos,0.08,0.03,NA,NA,NA,NA,0.04,0.04,0.05,0.08,0.08,0.07,0.06,0.04,0.14
2010-10-01T07:00:00Z,DissOrthophos,0.08,0.03,NA,NA,NA,NA,0.03,0.04,0.05,0.07,0.08,0.07,0.06,0.04,0.13
2010-11-01T07:00:00Z,DissOrthophos,0.11,0.05,NA,NA,NA,NA,0.04,0.04,0.06,0.06,0.08,0.07,0.06,0.03,0.09
2010-12-01T08:00:00Z,DissOrthophos,0.04,0.03,NA,NA,NA,NA,0.04,0.04,0.04,0.06,0.04,0.05,0.04,0.04,0.05
2011-01-01T08:00:00Z,DissOrthophos,0.06,0.02,NA,NA,NA,NA,0.05,0.07,0.04,0.05,0.05,0.03,0.05,0.13,0.06
2011-02-01T08:00:00Z,DissOrthophos,0.02,0.02,NA,NA,NA,NA,0.04,0.02,0.05,0.06,0.06,0.06,0.06,0.04,0.04
2011-03-01T08:00:00Z,DissOrthophos,0.06,0.03,NA,NA,NA,NA,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.08,0.06
2011-04-01T07:00:00Z,DissOrthophos,0.04,0.02,NA,NA,NA,NA,0.04,0.04,0.02,0.04,0.02,0.03,0.03,0.07,0.05
2011-05-01T07:00:00Z,DissOrthophos,0.04,0.02,NA,NA,NA,NA,0.03,0.07,0.02,0.05,0.04,0.03,0.03,0.07,0.07
2011-06-01T07:00:00Z,DissOrthophos,0.03,0.02,NA,NA,NA,NA,0.03,0.05,0.03,0.06,0.04,0.04,0.04,0.06,0.05
2011-07-01T07:00:00Z,DissOrthophos,0.05,0.03,NA,NA,NA,NA,0.04,0.06,0.04,0.06,0.04,0.04,0.03,0.09,0.07
2011-08-01T07:00:00Z,DissOrthophos,0.04,0.05,NA,NA,NA,NA,0.03,0.05,0.04,0.07,0.05,0.05,0.05,0.05,0.07
2011-09-01T07:00:00Z,DissOrthophos,0.05,0.04,NA,NA,NA,NA,0.04,0.03,0.05,0.06,0.07,0.04,0.05,0.04,0.05
2011-10-01T07:00:00Z,DissOrthophos,0.05,0.04,NA,NA,NA,NA,0.04,0.04,0.04,0.06,0.06,0.06,0.06,0.03,0.09
2011-11-01T07:00:00Z,DissOrthophos,0.08,0.05,NA,NA,NA,NA,0.03,0.04,0.04,0.07,0.06,0.06,0.05,0.03,0.15
2011-12-01T08:00:00Z,DissOrthophos,0.07,0.03,NA,NA,NA,NA,0.05,0.04,0.03,0.07,0.06,0.04,0.03,0.04,0.13
2012-01-01T08:00:00Z,DissOrthophos,0.06,0.05,NA,NA,NA,NA,0.04,0.04,0.06,0.06,0.06,0.05,0.06,0.04,0.28
2012-02-01T08:00:00Z,DissOrthophos,0.12,0.06,NA,NA,NA,NA,0.06,0.05,0.06,0.06,0.06,0.04,0.03,0.05,0.23
2012-03-01T08:00:00Z,DissOrthophos,0.05,0.04,NA,NA,NA,NA,0.05,0.05,0.06,0.08,0.06,0.06,0.06,0.05,0.17
