MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2000-12-01T08:00:00Z,DissNitrateNitrite,1.8,0.16,NA,NA,NA,NA,0.3,0.39,0.41,0.27,0.37,0.42,0.41,0.43,1.8
2001-01-01T08:00:00Z,DissNitrateNitrite,1.9,0.14,NA,NA,NA,NA,0.32,0.4,0.4,0.24,0.35,0.4,0.41,0.42,2.4
2001-02-01T08:00:00Z,DissNitrateNitrite,2.3,0.29,NA,NA,NA,NA,0.39,0.56,0.41,0.27,0.37,0.39,0.43,0.9,2.2
2001-03-01T08:00:00Z,DissNitrateNitrite,2.2,0.22,NA,NA,NA,NA,0.48,0.7,0.35,0.28,0.39,0.41,0.38,1.1,1.8
2001-04-01T08:00:00Z,DissNitrateNitrite,1.9,0.18,NA,NA,NA,NA,0.41,0.51,0.4,0.29,1.6,1.3,0.7,0.13,2.7
2001-05-01T07:00:00Z,DissNitrateNitrite,0.9,0.17,NA,NA,NA,NA,0.57,0.5,0.37,0.08,0.32,0.46,0.44,0.31,0.95
2001-06-01T07:00:00Z,DissNitrateNitrite,2,0.12,NA,NA,NA,NA,0.44,0.56,0.58,0.29,0.51,0.56,0.58,0.41,1.6
2001-07-01T07:00:00Z,DissNitrateNitrite,2.1,0.08,NA,NA,NA,NA,0.35,0.38,0.45,0.3,0.45,0.47,0.46,0.24,1.7
2001-08-01T07:00:00Z,DissNitrateNitrite,2,0.07,NA,NA,NA,NA,0.21,0.18,0.34,0.27,0.44,0.41,0.42,0.14,2
2001-09-01T07:00:00Z,DissNitrateNitrite,2.1,0.09,NA,NA,NA,NA,0.24,0.19,0.41,0.32,0.42,0.45,0.45,0.12,1.7
2001-10-01T07:00:00Z,DissNitrateNitrite,2,0.09,NA,NA,NA,NA,0.28,0.28,0.45,0.28,0.47,0.5,0.49,0.18,2
2001-11-01T08:00:00Z,DissNitrateNitrite,1.7,0.19,NA,NA,NA,NA,0.48,0.56,0.51,0.25,0.31,0.49,0.5,0.61,1.5
2001-12-01T08:00:00Z,DissNitrateNitrite,1.6,0.42,NA,NA,NA,NA,0.64,0.68,0.58,0.34,0.55,0.57,0.53,1.1,2
2002-01-01T08:00:00Z,DissNitrateNitrite,1.46,0.32,NA,NA,NA,NA,0.61,1,0.32,0.47,0.5,0.48,0.35,1.54,1.25
2002-02-01T08:00:00Z,DissNitrateNitrite,2.6,0.26,NA,NA,NA,NA,0.55,0.74,0.46,0.36,0.4,0.44,0.45,0.79,2.4
2002-03-01T08:00:00Z,DissNitrateNitrite,2.4,0.2,NA,NA,NA,NA,0.41,0.52,0.43,0.31,0.43,0.47,0.46,0.43,2.6
2002-04-01T08:00:00Z,DissNitrateNitrite,1.7,0.14,NA,NA,NA,NA,0.3,0.32,0.36,0.23,0.39,0.33,0.42,0.03,1.8
2002-05-01T07:00:00Z,DissNitrateNitrite,0.82,0.15,NA,NA,NA,NA,0.45,0.41,0.34,0.3,0.38,0.41,0.37,0.4,1.1
2002-06-01T07:00:00Z,DissNitrateNitrite,1.7,0.16,NA,NA,NA,NA,0.35,0.48,0.49,0.33,0.48,0.51,0.51,0.25,1.3
2002-07-01T07:00:00Z,DissNitrateNitrite,1.8,0.07,NA,NA,NA,NA,0.25,0.27,0.48,0.43,0.52,0.52,0.52,0.19,1.2
2002-08-01T07:00:00Z,DissNitrateNitrite,1.5,0.05,NA,NA,NA,NA,0.19,0.15,0.33,0.31,0.45,0.45,0.38,0.1,1.3
2002-09-01T07:00:00Z,DissNitrateNitrite,2.2,0.08,NA,NA,NA,NA,0.24,0.15,0.26,0.23,0.33,0.4,0.26,0.12,1.5
2002-10-01T07:00:00Z,DissNitrateNitrite,1.8,0.19,NA,NA,NA,NA,0.3,0.24,0.39,0.24,0.34,0.4,0.4,0.27,1.6
2002-11-01T08:00:00Z,DissNitrateNitrite,1.68,0.15,NA,NA,NA,NA,0.43,NA,0.28,0.29,0.42,0.45,0.46,0.92,1.7
2002-12-01T08:00:00Z,DissNitrateNitrite,2,0.18,NA,NA,NA,NA,0.48,0.5,0.49,0.26,0.43,0.47,0.49,0.52,2.4
2003-01-01T08:00:00Z,DissNitrateNitrite,2.2,0.25,NA,NA,NA,NA,0.42,0.7,0.3,0.34,0.34,0.34,0.34,1.4,2.1
2003-02-01T08:00:00Z,DissNitrateNitrite,2,0.2,NA,NA,NA,NA,0.31,0.43,0.3,0.26,0.3,0.31,0.32,0.71,3.2
2003-03-01T08:00:00Z,DissNitrateNitrite,2.84,0.2,NA,NA,NA,NA,0.32,0.24,0.32,0.14,0.27,0.33,0.33,0.11,3.06
2003-04-01T08:00:00Z,DissNitrateNitrite,2.2,0.19,NA,NA,NA,NA,0.32,0.26,0.35,0.2,0.32,0.39,0.37,0.1,3.1
2003-05-01T07:00:00Z,DissNitrateNitrite,0.96,0.11,NA,NA,NA,NA,0.28,0.42,0.17,0.19,0.2,0.22,0.18,0.04,1.13
2003-06-01T07:00:00Z,DissNitrateNitrite,0.82,0.09,NA,NA,NA,NA,0.21,0.18,0.2,0.19,0.27,0.26,0.24,0.16,1.06
2003-07-01T07:00:00Z,DissNitrateNitrite,1.57,0.08,NA,NA,NA,NA,0.18,0.17,0.25,0.31,0.34,0.33,0.3,0.09,1.15
2003-08-01T07:00:00Z,DissNitrateNitrite,2.12,0.08,NA,NA,NA,NA,0.16,0.13,0.2,0.28,0.34,0.3,0.26,0.1,1.63
2003-09-01T07:00:00Z,DissNitrateNitrite,1.97,0.11,NA,NA,NA,NA,0.21,0.14,0.27,0.26,0.34,0.32,0.3,0.07,1.51
2003-10-01T07:00:00Z,DissNitrateNitrite,1.82,0.15,NA,NA,NA,NA,0.29,0.2,0.35,0.28,0.33,0.34,0.34,0.12,1.46
2003-11-01T08:00:00Z,DissNitrateNitrite,1.65,0.2,NA,NA,NA,NA,0.35,0.38,0.42,0.32,0.41,0.42,0.43,0.38,1.57
2003-12-01T08:00:00Z,DissNitrateNitrite,1.89,0.3,NA,NA,NA,NA,0.49,0.49,0.47,0.36,0.45,0.46,0.47,0.73,2.44
2004-01-01T08:00:00Z,DissNitrateNitrite,2.22,0.24,NA,NA,NA,NA,0.47,0.61,0.37,0.31,0.38,0.4,0.39,1.19,2.34
2004-02-01T08:00:00Z,DissNitrateNitrite,2.32,0.28,NA,NA,NA,NA,0.35,0.58,0.41,0.34,0.45,0.25,0.44,1.43,2.76
2004-03-01T08:00:00Z,DissNitrateNitrite,1.9,0.18,NA,NA,NA,NA,0.3,0.45,0.23,0.18,0.26,0.25,0.26,0.66,2.52
2004-04-01T08:00:00Z,DissNitrateNitrite,2,0.08,NA,NA,NA,NA,0.25,0.21,0.2,0.27,0.37,0.36,0.3,0.1,1.8
